JOB     AJ7,
INST    287586
UNITS   M,D
SS      1,0.000,
SD      47.3222,76.3139,5.558
SS      2,0.000,
SD      69.0803,72.4907,4.504
SS      3,0.000,
SD      106.1139,72.4915,4.426
SS      4,0.000,
SD      117.2430,72.4852,4.810
SS      5,0.000,
SD      133.1320,75.4847,5.789
SS      6,0.000,
SD      139.5600,76.5116,6.551
SS      7,0.000,
SD      147.4940,78.3631,7.910
SS      8,0.000,
SD      146.3041,96.2128,7.585
SS      9,0.000,
SD      140.5548,96.2155,6.613
SS      10,0.000,
SD      137.1915,96.5213,6.141
SS      11,0.000,
SD      132.0213,98.2453,5.610
SS      12,0.000,
SD      123.4947,98.5241,5.004
SS      13,0.000,
SD      119.5635,101.3342,4.832
SS      14,0.000,
SD      104.2523,101.3418,4.303
SS      15,0.000,
SD      96.0115,101.3429,4.180
SS      16,0.000,
SD      101.2717,109.3641,4.415
SS      17,0.000,
SD      84.2350,109.3648,4.327
SS      18,0.000,
SD      83.3221,100.1809,4.153
SS      19,0.000,
SD      69.0128,100.1752,4.402
SS      20,0.000,
SD      65.0915,104.4120,4.602
SS      21,0.000,
SD      57.5033,99.4555,4.831
SS      22,0.000,
SD      49.3127,99.4524,5.356
SS      23,0.000,
SD      61.3937,106.3437,4.781
SS      24,0.000,
SD      92.0121,106.5755,4.254
SS      25,0.000,
SD      90.4711,97.4018,4.108
SS      26,0.000,
SD      72.3420,97.4006,4.284
