JOB     AJ2,
INST    287586
UNITS   M,D
SS      1,0.000,
SD      4.1709,85.4936,3.881
SS      2,0.000,
SD      19.4248,85.4949,4.130
SS      3,0.000,
SD      34.1823,85.5001,4.726
SS      4,0.000,
SD      39.0535,85.5007,5.037
SS      5,0.000,
SD      39.0515,82.0354,5.073
SS      6,0.000,
SD      39.0515,86.0342,5.035
SS      7,0.000,
SD      30.5333,86.0341,4.543
SS      8,0.000,
SD      19.4935,86.0338,4.131
SS      9,0.000,
SD      0.5627,86.0319,3.867
SS      10,0.000,
SD      344.3624,86.0302,3.996
SS      11,0.000,
SD      332.3019,86.0241,4.331
SS      12,0.000,
SD      320.2936,86.0223,4.961
SS      13,0.000,
SD      40.3953,92.1258,5.146
SS      14,0.000,
SD      30.0125,92.1257,4.494
SS      15,0.000,
SD      13.0806,94.0228,3.982
SS      16,0.000,
SD      353.0025,93.0327,3.886
SS      17,0.000,
SD      336.1342,93.0301,4.197
SS      18,0.000,
SD      323.1140,93.1739,4.779
SS      19,0.000,
SD      320.1926,93.1732,4.971
SS      20,0.000,
SD      320.1920,97.2900,5.006
SS      21,0.000,
SD      329.0025,98.0553,4.511
SS      22,0.000,
SD      342.5834,100.3426,4.087
SS      23,0.000,
SD      359.4457,100.3444,3.922
SS      24,0.000,
SD      14.0331,100.3458,4.058
SS      25,0.000,
SD      26.0437,100.3505,4.397
SS      26,0.000,
SD      35.0959,99.1021,4.823
SS      27,0.000,
SD      43.4807,97.1750,5.456
SS      28,0.000,
SD      42.5220,101.2714,5.434
SS      29,0.000,
SD      37.5346,102.2829,5.056
SS      30,0.000,
SD      22.2229,104.3624,4.334
SS      31,0.000,
SD      6.3009,110.0417,4.137
SS      32,0.000,
SD      353.1353,110.0403,4.128
SS      33,0.000,
SD      353.1401,104.5213,4.012
SS      34,0.000,
SD      5.4532,104.5225,4.017
SS      35,0.000,
SD      359.1653,104.5222,3.990
SS      36,0.000,
SD      346.4618,104.5206,4.086
SS      37,0.000,
SD      337.3433,104.3929,4.290
SS      38,0.000,
SD      322.3213,102.3257,4.931
SS      39,0.000,
SD      321.4740,78.0316,4.972
SS      40,0.000,
SD      336.4743,76.0304,4.302
SS      41,0.000,
SD      355.3908,74.5607,4.003
SS      42,0.000,
SD      8.4755,75.0323,4.047
SS      43,0.000,
SD      21.2335,75.5729,4.293
SS      44,0.000,
SD      28.2530,76.5037,4.537
SS      45,0.000,
SD      41.0226,78.3630,5.278
SS      46,0.000,
SD      30.4228,82.5542,4.558
SS      47,0.000,
SD      17.2151,82.5537,4.091
SS      48,0.000,
SD      3.0842,82.5526,3.896
SS      49,0.000,
SD      342.3551,82.5502,4.058
SS      50,0.000,
SD      330.0921,82.5441,4.451
SS      51,0.000,
SD      322.1436,82.5429,4.871
