JOB     AJ3C,
INST    287586
UNITS   M,D
SS      1,0.000,
SD      316.2342,84.2737,4.783
SS      2,0.000,
SD      304.3452,84.2908,3.992
SS      3,0.000,
SD      294.5502,84.2417,3.614
SS      4,0.000,
SD      284.1426,84.2416,3.375
SS      5,0.000,
SD      274.4552,84.2404,3.278
SS      6,0.000,
SD      267.4227,84.2358,3.264
SS      7,0.000,
SD      258.1030,84.2342,3.326
SS      8,0.000,
SD      249.5938,84.2334,3.459
SS      9,0.000,
SD      236.2111,84.2318,3.894
SS      10,0.000,
SD      228.2342,84.2313,4.322
SS      11,0.000,
SD      219.2337,84.2309,5.073
SS      12,0.000,
SD      210.1346,84.2310,6.355
SS      13,0.000,
SD      206.1130,84.2306,7.218
SS      14,0.000,
SD      205.1543,84.2305,7.466
SS      15,0.000,
SD      205.1545,86.1932,7.443
SS      16,0.000,
SD      219.4755,86.1929,5.017
SS      17,0.000,
SD      230.1755,86.1902,4.193
SS      18,0.000,
SD      237.3522,86.1907,3.831
SS      19,0.000,
SD      249.5430,86.1921,3.451
SS      20,0.000,
SD      264.2706,86.1936,3.266
SS      21,0.000,
SD      275.4519,86.1958,3.274
SS      22,0.000,
SD      286.2849,86.1636,3.405
SS      23,0.000,
SD      296.1929,86.1654,3.650
SS      24,0.000,
SD      305.1548,86.1714,4.019
SS      25,0.000,
SD      314.1915,86.1738,4.600
SS      26,0.000,
SD      314.1856,91.5543,4.596
SS      27,0.000,
SD      301.0341,91.5515,3.818
SS      28,0.000,
SD      285.0403,91.5439,3.376
SS      29,0.000,
SD      273.4329,91.5422,3.258
SS      30,0.000,
SD      260.1358,91.5423,3.290
SS      31,0.000,
SD      246.4136,91.5434,3.525
SS      32,0.000,
SD      233.4024,91.5458,3.999
SS      33,0.000,
SD      204.4737,91.5635,7.535
SS      34,0.000,
SD      204.4744,94.0126,7.546
SS      35,0.000,
SD      205.4220,94.0124,7.304
SS      36,0.000,
SD      217.5228,94.0040,5.220
SS      37,0.000,
SD      223.5251,94.0020,4.638
SS      38,0.000,
SD      236.4342,93.5946,3.866
SS      39,0.000,
SD      250.0238,93.5921,3.448
SS      40,0.000,
SD      264.4844,93.5908,3.265
SS      41,0.000,
SD      296.2256,93.5936,3.654
SS      42,0.000,
SD      305.4319,93.5955,4.044
SS      43,0.000,
SD      316.1819,94.0030,4.774
SS      44,0.000,
SD      316.1811,96.2123,4.792
SS      45,0.000,
SD      305.1016,96.2057,4.031
SS      46,0.000,
SD      294.4703,96.2023,3.617
SS      47,0.000,
SD      278.1122,96.2004,3.307
SS      48,0.000,
SD      253.1417,96.2005,3.400
SS      49,0.000,
SD      235.0300,96.2033,3.956
SS      50,0.000,
SD      217.3450,96.2121,5.273
SS      51,0.000,
SD      204.5626,98.5819,7.579
SS      52,0.000,
SD      228.1512,100.1152,4.380
SS      53,0.000,
SD      250.2944,102.5245,3.519
