JOB     AJ5,
INST    287586
UNITS   M,D
SS      1,0.000,
SD      152.4548,82.3718,8.142
SS      2,0.000,
SD      152.4612,87.3431,8.087
SS      3,0.000,
SD      152.4637,92.2949,8.087
SS      4,0.000,
SD      152.4654,95.3042,8.118
SS      5,0.000,
SD      152.4702,97.1030,8.145
SS      6,0.000,
SD      160.5258,97.0943,7.682
SS      7,0.000,
SD      160.5147,84.1449,7.655
SS      8,0.000,
SD      160.5136,82.0109,7.691
SS      9,0.000,
SD      166.3831,82.0047,7.476
SS      10,0.000,
SD      166.3847,84.5043,7.434
SS      11,0.000,
SD      166.3950,96.2037,7.453
SS      12,0.000,
SD      166.4005,98.4343,7.496
SS      13,0.000,
SD      175.3617,98.4256,7.326
SS      14,0.000,
SD      175.0612,101.2638,7.393
SS      15,0.000,
SD      179.2047,101.2615,7.372
SS      16,0.000,
SD      179.2021,96.5633,7.279
SS      17,0.000,
SD      179.1855,82.1148,7.288
SS      18,0.000,
SD      186.4433,82.1122,7.350
SS      19,0.000,
SD      186.4554,96.2307,7.331
SS      20,0.000,
SD      186.4612,99.2800,7.386
SS      21,0.000,
SD      192.2013,99.2719,7.516
SS      22,0.000,
SD      192.1954,96.0539,7.455
SS      23,0.000,
SD      192.1850,84.4353,7.441
SS      24,0.000,
SD      192.1835,82.0628,7.479
SS      25,0.000,
SD      197.3706,82.0611,7.674
SS      26,0.000,
SD      197.3722,85.0410,7.630
SS      27,0.000,
SD      196.3413,96.2916,7.611
SS      28,0.000,
SD      196.3429,99.0331,7.658
SS      29,0.000,
SD      202.2203,98.5726,7.945
SS      30,0.000,
SD      202.2133,93.2218,7.860
SS      31,0.000,
SD      202.2106,88.3740,7.846
SS      32,0.000,
SD      202.2039,83.0959,7.896
