JOB     AJ4,
INST    287586
UNITS   M,D
SS      1,0.000,
SD      270.5603,117.5148,3.448
SS      2,0.000,
SD      266.3737,128.2428,2.593
SS      3,0.000,
SD      280.5212,139.0643,2.132
SS      4,0.000,
SD      243.3902,137.4320,2.173
SS      5,0.000,
SD      16.3323,137.4958,2.178
SS      6,0.000,
SD      0.1458,137.4843,2.180
SS      7,0.000,
SD      345.0036,137.4712,2.182
SS      8,0.000,
SD      338.0459,129.4048,2.528
SS      9,0.000,
SD      338.0605,122.1017,3.032
SS      10,0.000,
SD      352.1630,124.0405,2.883
SS      11,0.000,
SD      3.5641,124.0853,2.876
SS      12,0.000,
SD      16.5129,123.3605,2.919
SS      13,0.000,
SD      7.0009,118.2420,3.388
SS      14,0.000,
SD      0.1502,117.5251,3.447
SS      15,0.000,
SD      353.3354,117.2626,3.500
SS      16,0.000,
SD      350.1723,114.0702,3.943
SS      17,0.000,
SD      357.4910,113.3927,4.010
SS      18,0.000,
SD      4.1031,113.3500,4.020
SS      19,0.000,
SD      8.0508,114.3704,3.865
SS      20,0.000,
SD      305.0731,112.2622,4.216
SS      21,0.000,
SD      52.0121,112.3509,4.174
SS      22,0.000,
SD      56.2151,109.4613,4.741
SS      23,0.000,
SD      83.3559,112.4014,4.177
SS      24,0.000,
SD      90.2418,112.4909,4.148
SS      25,0.000,
SD      94.5856,112.4129,4.165
SS      26,0.000,
SD      98.4759,111.5202,4.314
SS      27,0.000,
SD      93.0125,118.0235,3.414
SS      28,0.000,
SD      82.0925,119.4132,3.246
SS      29,0.000,
SD      79.1216,123.5233,2.887
SS      30,0.000,
SD      89.1035,124.0928,2.860
SS      31,0.000,
SD      101.0028,125.2109,2.776
SS      32,0.000,
SD      101.0044,132.0438,2.397
SS      33,0.000,
SD      88.1641,132.3639,2.370
SS      34,0.000,
SD      74.1332,133.0414,2.356
SS      35,0.000,
SD      69.2632,141.1435,2.042
SS      36,0.000,
SD      97.3638,140.1709,2.088
SS      37,0.000,
SD      117.5455,140.1641,2.096
SS      38,0.000,
SD      130.3723,107.3403,5.335
SS      39,0.000,
SD      136.0334,108.3751,5.027
SS      40,0.000,
SD      152.5134,113.1342,4.072
SS      41,0.000,
SD      165.4506,114.4628,3.835
SS      42,0.000,
SD      173.0641,133.5817,2.317
SS      43,0.000,
SD      190.3542,135.1354,2.268
SS      44,0.000,
SD      193.1402,119.4042,3.245
SS      45,0.000,
SD      222.4158,111.0544,4.473
SS      46,0.000,
SD      183.5434,109.4325,4.754
SS      47,0.000,
SD      179.5211,108.2129,5.089
SS      48,0.000,
SD      174.5622,108.2058,5.096
SS      49,0.000,
SD      174.5555,103.5258,6.669
SS      50,0.000,
SD      181.0756,103.1303,7.039
