JOB     AJ6,
INST    287586
UNITS   M,D
SS      1,0.000,
SD      151.2942,77.1824,7.947
SS      2,0.000,
SD      162.4546,76.2252,7.382
SS      3,0.000,
SD      178.5705,74.4640,6.615
SS      4,0.000,
SD      189.3733,75.5422,7.131
SS      5,0.000,
SD      203.3728,76.3557,7.507
SS      6,0.000,
SD      212.2504,69.4012,4.998
SS      7,0.000,
SD      194.0423,67.1919,4.516
SS      8,0.000,
SD      176.4407,67.2058,4.531
SS      9,0.000,
SD      162.1735,67.2223,4.539
SS      10,0.000,
SD      148.2610,67.2339,4.538
SS      11,0.000,
SD      129.4431,67.2504,4.531
SS      12,0.000,
SD      152.2349,58.1840,3.306
SS      13,0.000,
SD      178.4846,54.3120,3.001
SS      14,0.000,
SD      200.4856,56.1033,3.134
SS      15,0.000,
SD      221.5313,61.5648,3.702
SS      16,0.000,
SD      245.5106,61.5528,3.707
SS      17,0.000,
SD      177.4407,37.3959,2.200
SS      18,0.000,
SD      135.0014,47.3709,2.578
SS      19,0.000,
SD      109.3448,65.1310,4.156
SS      20,0.000,
SD      113.5539,58.2341,3.315
SS      21,0.000,
SD      86.2718,63.3942,3.924
SS      22,0.000,
SD      87.5446,45.1259,2.474
SS      23,0.000,
SD      88.2959,13.1259,1.787
SS      24,0.000,
SD      273.0044,32.3643,2.070
SS      25,0.000,
SD      273.0006,53.4558,2.963
SS      26,0.000,
SD      304.2101,61.2449,3.667
SS      27,0.000,
SD      344.4410,51.5113,2.844
SS      28,0.000,
SD      22.3501,51.5441,2.840
SS      29,0.000,
SD      50.5843,66.0714,4.304
SS      30,0.000,
SD      43.1613,69.1240,4.919
SS      31,0.000,
SD      22.4337,64.5015,4.106
SS      32,0.000,
SD      348.1406,62.5912,3.848
SS      33,0.000,
SD      321.5721,67.2237,4.548
