City Name,Latitude,Longitude,Absolute Gravimetric Value (mGal),to_use
Teresina,-5.0874608,-42.8049571,978016.343,False
Brasília,-15.7939869,-47.8828,978048.798,False
Viçosa,-22.7467919,-42.6088314,978460.230,False
Vassouras,-20.4557485,-45.3644315,978637.581,False
Valinhos,-22.97056,-46.99583,978563.778,True
Curitiba,-25.4295963,-49.2712724,978760.387,True
Santa Maria,-29.6860512,-53.8069214,979261.636,False
São Mateus do Sul,-25.866823,-50.382796,978777.552,False
Bituruna,-26.161281,-51.5533319,978779.494,False
Clevelândia,-26.404065,-52.3513972,978785.956,False
Francisco Beltrão,-26.0790979,-53.0533527,978807.889,False
Toledo,-24.7222438,-53.7402476,978798.274,False
Laranjeiras do Sul,-25.4073197,-52.4150132,978704.752,False
Guarapuava,-25.3950986,-51.4622016,978679.223,False
Ponta Grossa,-25.0891685,-50.1601812,978718.590,False
Jaguariaíva,-24.2589699,-49.7201518,978652.187,False
Joaquim Távora,-23.4999724,-49.9232545,978670.149,False
Ortigueira,-24.2088891,-50.925043,978678.783,False
Londrina,-23.3112878,-51.1595023,978636.848,False
Maringá,-23.425269,-51.9382078,978666.844,False
Iretama,-24.4205941,-52.1013532,978715.295,False
Paranavaí,-23.08165,-52.461724,978677.870,False
Goio-erê,-24.1851885,-53.0250623,978744.597,False
Guaíra,-24.0851924,-54.2567519,978800.484,False
