City Name,Latitude,Longitude
Bituruna,-26.161281,-51.5533319
Brasília,-15.7939869,-47.8828
Clevelândia,-26.404065,-52.3513972
Curitiba,-25.4295963,-49.2712724
Foz do Iguaçu,-25.5304023,-54.5830692
Francisco Beltrão,-26.0790979,-53.0533527
Goio-erê,-24.1851885,-53.0250623
Guarapuava,-25.3950986,-51.4622016
Guaíra,-24.0851924,-54.2567519
Iretama,-24.4205941,-52.1013532
Jaguariaíva,-24.2589699,-49.7201518
Joaquim Távora,-23.4999724,-49.9232545
Laranjeiras do Sul,-25.4073197,-52.4150132
Londrina,-23.3112878,-51.1595023
Maringá,-23.425269,-51.9382078
Ortigueira,-24.2088891,-50.925043
Paranavaí,-23.08165,-52.461724
Ponta Grossa,-25.0891685,-50.1601812
Pontal do Paraná,-25.574765,-48.3614806
Querência do Norte,-23.083758,-53.483022
Santa Maria,-29.6860512,-53.8069214
São Mateus do Sul,-25.866823,-50.382796
Teresina,-5.0874608,-42.8049571
Toledo,-24.7222438,-53.7402476
Valinhos,-22.97056,-46.99583
Vassouras,-20.4557485,-45.3644315
Viçosa,-22.7467919,-42.6088314
