line name,city from,city to,relative gravimetric value (mGal),equipment,weight
01,Curitiba,São Mateus do Sul,17.165,,
02,São Mateus do Sul,Bituruna,1.942,,
03,Bituruna,Clevelândia,6.462,,
04,Clevelândia,Francisco Beltrão,21.933,,
05,Toledo,Francisco Beltrão,9.615,,
06,Toledo,Guaíra,2.21,,
07,Goio-erê,Toledo,53.677,,
08,Toledo,Foz do Iguaçu,,,
09,Laranjeiras do Sul,Toledo,93.522,,
10,Guarapuava,Laranjeiras do Sul,25.529,,
11,Guarapuava,Bituruna,100.271,,
12,Guarapuava,Ponta Grossa,39.367,,
13,Ponta Grossa,Curitiba,41.797,,
14ª,Ortigueira,Ponta Grossa,39.807,,
14b,Londrina,Ortigueira,41.935,,
15ª,Jaguariaíva,Ponta Grossa,66.403,,
15b,Jaguariaíva,Joaquim Távora,17.962,,
16,Londrina,Joaquim Távora,33.301,,
17,Londrina,Maringá,29.996,,
18ª,Maringá,Iretama,48.451,,
18b,Guarapuava,Iretama,36.072,,
19ª,Maringá,Paranavaí,11.026,,
19b,Paranavaí,Querência do Norte,,,
20,Paranavaí,Goio-erê,66.727,,
21,Goio-erê,Guaíra,55.887,,
22,Curitiba,Pontal do Paraná,,,
23ª,Jaguariaíva,Curitiba,108.2,,
23b,Valinhos,Jaguariaíva,88.409,,
